"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 13 18:31:48 GMT 2023","Mon Mar 13 18:31:52 GMT 2023","3706","Surefire suite","Surefire test","com.qacart.todo.testcases.TodoApiTest","com.qacart.todo.testcases.TodoApiTest","shouldBeAbleToGetATodoByID","should Be Able To Get A Todo By ID",""
"broken","Mon Mar 13 18:31:51 GMT 2023","Mon Mar 13 18:31:53 GMT 2023","2242","Surefire suite","Surefire test","com.qacart.todo.testcases.TodoApiTest","com.qacart.todo.testcases.TodoApiTest","shouldNotBeAbleToAddTodoIfIsCompletedMissing","should Not Be Able To Add Todo If Is Completed Missing",""
"passed","Sat Jul 15 09:00:34 GMT 2023","Sat Jul 15 09:00:41 GMT 2023","7432","Surefire suite","Surefire test","com.qacart.todo.testcases.GUIs.todo.TodoTest","com.qacart.todo.testcases.GUIs.todo.TodoTest","shouldBeAbleToAddNewTodo","Should be able to add a new todo correctly",""
"passed","Sun May 07 21:30:45 GMT 2023","Sun May 07 21:30:51 GMT 2023","5912","Surefire suite","Surefire test","com.qacart.todo.testcases.apis.TodoApiTest","com.qacart.todo.testcases.apis.TodoApiTest","shouldNotBeAbleToAddTodoIfIsCompletedMissing","should Not Be Able To Add Todo If Is Completed Missing",""
"broken","Sun May 07 09:54:46 GMT 2023","Sun May 07 09:54:46 GMT 2023","1","Default Suite","TodoApplicationProject","com.qacart.todo.testcases.RegisterTest","com.qacart.todo.testcases.RegisterTest","tearDown","tearDown",""
"passed","Sun May 07 21:30:56 GMT 2023","Sun May 07 21:31:05 GMT 2023","9553","Surefire suite","Surefire test","com.qacart.todo.testcases.RegisterTest","com.qacart.todo.testcases.RegisterTest","shouldNotBeAbleToRegisterWithTheRegisteredEmail","should Not Be Able To Login With The registered Email","It will try register with the registered email"
"passed","Sun May 07 21:30:56 GMT 2023","Sun May 07 21:31:06 GMT 2023","10062","Surefire suite","Surefire test","com.qacart.todo.testcases.LoginTest","com.qacart.todo.testcases.LoginTest","shouldBeAbleToLoginWithEmailAndPassword","Should be able to login with email and password","It will login by filling the email and the password and navigate to the todo page"
"passed","Mon Mar 13 18:31:48 GMT 2023","Mon Mar 13 18:31:51 GMT 2023","3096","Surefire suite","Surefire test","com.qacart.todo.testcases.TodoApiTest","com.qacart.todo.testcases.TodoApiTest","shouldBeAbleToDeleteTodoByID","should Be Able To Delete Todo By ID",""
"passed","Sat Jul 15 09:00:41 GMT 2023","Sat Jul 15 09:00:45 GMT 2023","3644","Surefire suite","Surefire test","com.qacart.todo.testcases.GUIs.login.LoginTest","com.qacart.todo.testcases.GUIs.login.LoginTest","shouldBeAbleToLoginWithEmailAndPassword","Should be able to login with email and password","It will login by filling the email and the password and navigate to the todo page"
"passed","Sun May 07 21:30:56 GMT 2023","Sun May 07 21:31:03 GMT 2023","7104","Surefire suite","Surefire test","com.qacart.todo.testcases.RegisterTest","com.qacart.todo.testcases.RegisterTest","shouldBeAbleToRegisterWithFirstNameAndLastNameAndEmailAndPasswordAndConfirmPassword","Should be able to register with firstname,lastname,email,password,and confirm password","It will register with firstname,lastname,email,password,and confirm password"
"passed","Sun Jul 09 18:03:20 GMT 2023","Sun Jul 09 18:03:24 GMT 2023","3833","Surefire suite","Surefire test","com.qacart.todo.testcases.register.RegisterTest","com.qacart.todo.testcases.register.RegisterTest","shouldBeAbleToRegisterWithFirstNameAndLastNameAndEmailAndPasswordAndConfirmPassword","Should be able to register with firstname,lastname,email,password,and confirm password","It will register with firstname,lastname,email,password,and confirm password"
"passed","Sun May 07 21:30:45 GMT 2023","Sun May 07 21:30:51 GMT 2023","6560","Surefire suite","Surefire test","com.qacart.todo.testcases.apis.TodoApiTest","com.qacart.todo.testcases.apis.TodoApiTest","shouldBeAbleToGetATodoByID","should Be Able To Get A Todo By ID",""
"passed","Sat Jul 15 09:00:34 GMT 2023","Sat Jul 15 09:00:41 GMT 2023","7019","Surefire suite","Surefire test","com.qacart.todo.testcases.GUIs.register.RegisterTest","com.qacart.todo.testcases.GUIs.register.RegisterTest","shouldNotBeAbleToRegisterWithTheRegisteredEmail","should Not Be Able To Login With The registered Email","It will try register with the registered email"
"passed","Sat Jul 15 09:00:44 GMT 2023","Sat Jul 15 09:00:45 GMT 2023","879","Surefire suite","Surefire test","com.qacart.todo.testcases.apis.user.UserApiTest","com.qacart.todo.testcases.apis.user.UserApiTest","shouldBeAbleToRegister","should Be Able To register",""
"passed","Sun May 07 21:30:56 GMT 2023","Sun May 07 21:31:05 GMT 2023","9775","Surefire suite","Surefire test","com.qacart.todo.testcases.TodoTest","com.qacart.todo.testcases.TodoTest","shouldBeAbleToAddNewTodo","Should be able to add a new todo correctly",""
"broken","Mon Mar 13 18:31:39 GMT 2023","Mon Mar 13 18:31:48 GMT 2023","8961","Surefire suite","Surefire test","com.qacart.todo.testcases.UserApiTest","com.qacart.todo.testcases.UserApiTest","shouldNotBeAbleToRegisterWithTheSameEmail","should Not Be Able To Register With The Same Email",""
"passed","Mon Mar 13 18:31:39 GMT 2023","Mon Mar 13 18:31:41 GMT 2023","1814","Surefire suite","Surefire test","com.qacart.todo.testcases.UserApiTest","com.qacart.todo.testcases.UserApiTest","shouldBeAbleToRegister","should Be Able To Register",""
"passed","Sun Jul 09 18:03:28 GMT 2023","Sun Jul 09 18:03:34 GMT 2023","5801","Surefire suite","Surefire test","com.qacart.todo.testcases.todo.TodoTest","com.qacart.todo.testcases.todo.TodoTest","shouldBeAbleToDeleteTodo","Should be able to delete a todo correctly",""
"passed","Sun May 07 21:30:56 GMT 2023","Sun May 07 21:31:02 GMT 2023","6107","Surefire suite","Surefire test","com.qacart.todo.testcases.TodoTest","com.qacart.todo.testcases.TodoTest","shouldBeAbleToDeleteTodo","Should be able to delete a todo correctly",""
"passed","Sat Jul 15 09:00:34 GMT 2023","Sat Jul 15 09:00:42 GMT 2023","8125","Surefire suite","Surefire test","com.qacart.todo.testcases.GUIs.todo.TodoTest","com.qacart.todo.testcases.GUIs.todo.TodoTest","shouldBeAbleToDeleteTodo","Should be able to delete a todo correctly",""
"passed","Sun May 07 21:30:51 GMT 2023","Sun May 07 21:30:52 GMT 2023","784","Surefire suite","Surefire test","com.qacart.todo.testcases.apis.UserApiTest","com.qacart.todo.testcases.apis.UserApiTest","shouldBeAbleToRegister","should Be Able To register",""
"passed","Mon Mar 13 18:31:39 GMT 2023","Mon Mar 13 18:31:45 GMT 2023","6397","Surefire suite","Surefire test","com.qacart.todo.testcases.UserApiTest","com.qacart.todo.testcases.UserApiTest","shouldBeAbleToLogin","should Be Able To Login",""
"passed","Sat Jul 15 09:00:42 GMT 2023","Sat Jul 15 09:00:44 GMT 2023","2156","Surefire suite","Surefire test","com.qacart.todo.testcases.apis.todo.TodoApiTest","com.qacart.todo.testcases.apis.todo.TodoApiTest","shouldBeAbleToGetATodoByID","should Be Able To Get A Todo By ID",""
"passed","Sun May 07 21:30:45 GMT 2023","Sun May 07 21:30:51 GMT 2023","6558","Surefire suite","Surefire test","com.qacart.todo.testcases.apis.TodoApiTest","com.qacart.todo.testcases.apis.TodoApiTest","shouldBeAbleToDeleteTodoByID","should Be Able To Delete Todo By ID",""
"passed","Sun Jul 09 18:03:20 GMT 2023","Sun Jul 09 18:03:27 GMT 2023","6926","Surefire suite","Surefire test","com.qacart.todo.testcases.register.RegisterTest","com.qacart.todo.testcases.register.RegisterTest","shouldNotBeAbleToRegisterWithTheRegisteredEmail","should Not Be Able To Login With The registered Email","It will try register with the registered email"
"broken","Mon Mar 13 18:31:39 GMT 2023","Mon Mar 13 18:31:44 GMT 2023","5149","Surefire suite","Surefire test","com.qacart.todo.testcases.UserApiTest","com.qacart.todo.testcases.UserApiTest","ShouldNotBeAbleToLoginIfPasswordIsNotCorrect","Should Not Be Able To Login If Password Is Not Correct",""
"passed","Sat Jul 15 09:00:45 GMT 2023","Sat Jul 15 09:00:47 GMT 2023","1550","Surefire suite","Surefire test","com.qacart.todo.testcases.apis.user.UserApiTest","com.qacart.todo.testcases.apis.user.UserApiTest","shouldNotBeAbleToRegisterWithTheSameEmail","should Not Be Able To Login With The Same Email",""
"passed","Sat Jul 15 09:00:41 GMT 2023","Sat Jul 15 09:00:43 GMT 2023","1658","Surefire suite","Surefire test","com.qacart.todo.testcases.apis.todo.TodoApiTest","com.qacart.todo.testcases.apis.todo.TodoApiTest","shouldBeAbleToAddTodo","should Be Able To Add Todo",""
"broken","Wed Mar 08 19:54:46 GMT 2023","Wed Mar 08 19:54:46 GMT 2023","2","All Test Suite","/home/wesamhamed/Desktop/training/Todo_App/TodoApplicationProject","com.qacart.todo.testcases.RegisterTest","com.qacart.todo.testcases.RegisterTest","setUp","setUp",""
"passed","Sun Jul 09 18:03:27 GMT 2023","Sun Jul 09 18:03:31 GMT 2023","4157","Surefire suite","Surefire test","com.qacart.todo.testcases.todo.TodoTest","com.qacart.todo.testcases.todo.TodoTest","shouldBeAbleToAddNewTodo","Should be able to add a new todo correctly",""
"passed","Sun May 07 21:30:45 GMT 2023","Sun May 07 21:30:51 GMT 2023","5913","Surefire suite","Surefire test","com.qacart.todo.testcases.apis.UserApiTest","com.qacart.todo.testcases.apis.UserApiTest","shouldBeAbleToLogin","should Be Able To Login",""
"passed","Sun May 07 21:30:45 GMT 2023","Sun May 07 21:30:51 GMT 2023","5912","Surefire suite","Surefire test","com.qacart.todo.testcases.apis.UserApiTest","com.qacart.todo.testcases.apis.UserApiTest","ShouldNotBeAbleToLoginIfPasswordIsNotCorrect","Should Not Be Able To Login If Password Is Not Correct",""
"passed","Mon Mar 13 18:31:45 GMT 2023","Mon Mar 13 18:31:48 GMT 2023","2999","Surefire suite","Surefire test","com.qacart.todo.testcases.TodoApiTest","com.qacart.todo.testcases.TodoApiTest","shouldBeAbleToAddTodo","should Be Able To Add Todo",""
"passed","Sun May 07 21:30:56 GMT 2023","Sun May 07 21:31:02 GMT 2023","5910","Surefire suite","Surefire test","com.qacart.todo.testcases.LoginTest","com.qacart.todo.testcases.LoginTest","ShouldNotBeAbleToLoginIfPasswordIsNotCorrect","Should Not Be Able To Login If Password Is Not Correct","It try login by filling the existing email and the incorrect password"
"passed","Sat Jul 15 09:00:34 GMT 2023","Sat Jul 15 09:00:38 GMT 2023","4301","Surefire suite","Surefire test","com.qacart.todo.testcases.GUIs.register.RegisterTest","com.qacart.todo.testcases.GUIs.register.RegisterTest","shouldBeAbleToRegisterWithFirstNameAndLastNameAndEmailAndPasswordAndConfirmPassword","Should be able to register with firstname,lastname,email,password,and confirm password","It will register with firstname,lastname,email,password,and confirm password"
"passed","Sun May 07 21:30:51 GMT 2023","Sun May 07 21:30:52 GMT 2023","1358","Surefire suite","Surefire test","com.qacart.todo.testcases.apis.UserApiTest","com.qacart.todo.testcases.apis.UserApiTest","shouldNotBeAbleToRegisterWithTheSameEmail","should Not Be Able To Login With The Same Email",""
"passed","Sat Jul 15 09:00:43 GMT 2023","Sat Jul 15 09:00:44 GMT 2023","1462","Surefire suite","Surefire test","com.qacart.todo.testcases.apis.todo.TodoApiTest","com.qacart.todo.testcases.apis.todo.TodoApiTest","shouldNotBeAbleToAddTodoIfIsCompletedMissing","should Not Be Able To Add Todo If Is Completed Missing",""
"broken","Tue May 02 12:28:42 GMT 2023","Tue May 02 12:28:42 GMT 2023","3","Default Suite","TodoApplicationProject","com.qacart.todo.testcases.LoginTest","com.qacart.todo.testcases.LoginTest","setUp","setUp",""
"broken","Wed Feb 22 20:10:20 GMT 2023","Wed Feb 22 20:10:20 GMT 2023","1","Default Suite","TodoApplicationProject","com.qacart.todo.testcases.LoginTest","com.qacart.todo.testcases.LoginTest","tearDown","tearDown",""
"passed","Sat Jul 15 09:00:44 GMT 2023","Sat Jul 15 09:00:46 GMT 2023","1714","Surefire suite","Surefire test","com.qacart.todo.testcases.apis.user.UserApiTest","com.qacart.todo.testcases.apis.user.UserApiTest","shouldBeAbleToLogin","should Be Able To Login",""
"passed","Sun May 07 21:30:45 GMT 2023","Sun May 07 21:30:51 GMT 2023","5947","Surefire suite","Surefire test","com.qacart.todo.testcases.apis.TodoApiTest","com.qacart.todo.testcases.apis.TodoApiTest","shouldBeAbleToAddTodo","should Be Able To Add Todo",""
"passed","Sat Jul 15 09:00:39 GMT 2023","Sat Jul 15 09:00:42 GMT 2023","3416","Surefire suite","Surefire test","com.qacart.todo.testcases.GUIs.login.LoginTest","com.qacart.todo.testcases.GUIs.login.LoginTest","ShouldNotBeAbleToLoginIfPasswordIsNotCorrect","Should Not Be Able To Login If Password Is Not Correct","It try login by filling the existing email and the incorrect password"
"passed","Fri Jul 14 12:02:52 GMT 2023","Fri Jul 14 12:03:53 GMT 2023","60783","Default Suite","TodoApplicationProject","com.qacart.todo.testcases.login.LoginTest","com.qacart.todo.testcases.login.LoginTest","shouldBeAbleToLoginWithEmailAndPassword","Should be able to login with email and password","It will login by filling the email and the password and navigate to the todo page"
"passed","Sat Jul 15 09:00:44 GMT 2023","Sat Jul 15 09:00:46 GMT 2023","1616","Surefire suite","Surefire test","com.qacart.todo.testcases.apis.user.UserApiTest","com.qacart.todo.testcases.apis.user.UserApiTest","ShouldNotBeAbleToLoginIfPasswordIsNotCorrect","Should Not Be Able To Login If Password Is Not Correct",""
"passed","Fri Jul 14 12:02:35 GMT 2023","Fri Jul 14 12:02:50 GMT 2023","14902","Default Suite","TodoApplicationProject","com.qacart.todo.testcases.login.LoginTest","com.qacart.todo.testcases.login.LoginTest","ShouldNotBeAbleToLoginIfPasswordIsNotCorrect","Should Not Be Able To Login If Password Is Not Correct","It try login by filling the existing email and the incorrect password"
"passed","Sat Jul 15 09:00:42 GMT 2023","Sat Jul 15 09:00:44 GMT 2023","2245","Surefire suite","Surefire test","com.qacart.todo.testcases.apis.todo.TodoApiTest","com.qacart.todo.testcases.apis.todo.TodoApiTest","shouldBeAbleToDeleteTodoByID","should Be Able To Delete Todo By ID",""
